22/2/2019,Remisses,RUTA 12 Y PERICHON
27/2/2019,Particular,España 775
27/2/2019,Particular,25 DE MAYO 800
27/2/2019,Particular,CATAMARCA 415
27/2/2019,Particular,CATAMARCA 415
27/2/2019,Particular,San Martin 2091
28/2/2019,Remisses,SAN JUAN 861
28/2/2019,Particular,SAN JUAN 817
1/3/2019,Particular,SANTA FE AL 800
2/3/2019,Particular,AVENIDA MAIPU  FRENTE TERMINAL
2/3/2019,Particular,CATAMARCA 645
2/3/2019,Particular,IRIGOYEN 1100
5/3/2019,Remisses,ACCESO A PERICHON Y RUTA 12
2/3/2019,Remisses,RUTA 12 ACCESO PERICHON
3/3/2019,Particular,MAIPU 2500
6/3/2019,Particular,A. Gonzalez y San Juan
7/3/2019,Particular,San Martin 1629
9/3/2019,Particular,IRIGOYEN 1212
9/3/2019,Particular,CATAMARCA 923
9/3/2019,Particular,NICARAGUA 3100
9/3/2019,Particular,PELEGRINI 1205
11/3/2019,Particular,SANTA FE AL 900
11/3/2019,Particular,MENDOZA 700
12/3/2019,Particular,SAN MARTIN 1620
12/3/2019,Particular,SAN MARTIN 2091
12/3/2019,Particular,MORENO 1190
12/3/2019,Remisses,SAN JUAN 800
12/3/2019,Particular,PELLEGRINI 1523
13/3/2019,Particular,LA RIOJA 1225
13/3/2019,Particular,bolivar 1400
13/3/2019,Particular,PLAYON DEL PUERTO
14/3/2019,Particular,SANTA FE 900
14/3/2019,Particular,SANTA FE AL 900
13/3/2019,Particular,salta 800
16/3/2019,Particular,JULIO 1008
16/3/2019,Particular,9 JULIO 1508
16/3/2019,Particular,G.GONZALZ 1600
16/3/2019,Particular,G.GONZALEZ 1600
16/3/2019,Particular,IRIGOYEN 920
17/3/2019,Remisses,aconcagua 3000
18/3/2019,Particular,santa fe al 900
18/3/2019,Particular,santa fe al 900
15/7/2018,Transportes de Cargas,JUAN PUJOL Y SANTA FE
19/3/2019,Particular,san martin al 959
19/3/2019,Particular,HIRIGOYEN 1600
19/3/2019,Particular,SAN MARTÍN 1891
20/3/2019,Particular,ESPAÑA 1183
21/3/2019,Particular,carlos pellegrini al 1545
20/3/2019,Particular,junin 800
21/3/2019,Particular,san juan al 800
22/3/2019,Particular,PLACIDO MARTINEZ 1100
23/3/2019,Particular,JUNIN 1630
23/3/2019,Particular,SAN JUAN AL 900
23/3/2019,Particular,CATAMARCA 653
24/3/2019,Particular,San Martín al 400
24/3/2019,Remisses,TENIENTE IBAÑEZ 800
25/3/2019,Particular,SAN MARTÍN 833
26/3/2019,Particular,SALTA AL 900
26/3/2019,Particular,BUENOS AIRES 1500
26/3/2019,Particular,salta al 1300
26/3/2019,Particular,SAN MARTÍN 585
26/3/2019,Particular,PLACIDO MARTINEZ 1000
27/3/2019,Particular,misiones y san martín
27/3/2019,Particular,J. TORRES DE VERA Y ARAGON 1100
28/3/2019,Particular,SAN JUAN 1000
28/3/2019,Particular,BUENOS AIRES 508
29/3/2019,Particular,AV ESPAÑA 767
29/3/2019,Transportes de Cargas,POMAR Y AYACUCHO
30/3/2019,Particular,AGUSTIN GONZALEZ Y S.JUAN
31/3/2019,Particular,IRIGOYEN 1300
31/3/2019,Particular,JUNIN 1619
31/3/2019,Particular,9 DE JULIO 1394
1/4/2019,Particular,CATAMARCA 641
1/4/2019,Particular,9 DE JULIO 1500
1/4/2019,Particular,MENDOZA 787
